Parameter,Number
P_expmax,1.578
E_battcap,2000
P_battmax,1000
WaitTime,60
E_battminFrac,0.1
eta_c,0.95
eta_d,0.95
P_pvUnit,450
eta_pvNom,0.207
P_pvLim1,4400
A_pvUnit,2.174
N_pv,12220
Tilt_pv,35
Az_pv,180
P_wtmaxE53,800
P_wtmaxE44,900
v_wtmin,2.5
v_wtmax,34
A_wtE53,2198
A_wtE44,1521
P_elmax,25
LHV,33.32
rho_spec,0.08988
eta_el,0.625
N_el,10
P_elsbUnit,0.03
W_elUnit,420
N_wtm,1
W_wtmUnit,228
P_wtmopUnit,35
P_wtmsbUnit,3
N_d,2
P_dsbUnit,10
P_dopUnit,200
m_dUnit,2500
P_rfmax,26
m_rfmax,162
P_fanmax,40
P_fanmin,20
E_battUnit,8.64
P_pvLim2,3500
E_battmaxFrac,0.9
TimeRes,5
R_spec,287
